exercise_name,filepath,exercise_type,body_part,equipment,instructions
Dumbbell Ipsilateral Single Leg Stiff Leg Deadlift,female/Dumbbell-Ipsilateral-Single-Leg-Stiff-Leg-Deadlift.mp4,Strength,Hips,Dumbbell,"Stand on one leg holding a dumbbell in the same-side hand | Keep your back straight and hinge at the hips, lowering the dumbbell toward the floor | Keep your standing leg slightly bent and the other leg extended behind | Return to standing position by driving your hips forward | Repeat for reps, then switch sides"
Dumbbell Bench Press,male/Dumbbell-Bench-Press_Chest-FIX_.mp4,Strength,Chest,Dumbbell,Lie on a bench holding dumbbells at chest level | Press dumbbells upward until arms are extended | Lower dumbbells back to chest level | Repeat
Barbell Clean Grip Front Squat,female/Barbell-Clean-grip-Front-Squat-(female)_Thighs_.mp4,Strength,Thighs,Barbell,"Stand with feet shoulder-width, barbell resting on front shoulders with clean grip | Keep elbows high and chest up | Squat down until thighs are parallel to floor | Push through heels to stand back up | Repeat"
Dumbbell Seated Hammer Curl,female/Dumbbell-Seated-Hammer-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Dumbbell,Sit on a bench with back straight and feet flat | Hold a dumbbell in each hand with palms facing in | Curl the weights up while keeping elbows close to your body | Lower the dumbbells back down slowly
Barbell Good Morning,male/Barbell-Good-Morning_Thighs-FIX_.mp4,Strength,Back,Barbell,"Place barbell across upper back | Stand with feet shoulder-width apart | Bend forward at hips, keeping back straight | Lower torso until almost parallel to floor | Return to standing position"
Back Forward Leg Swings,male/Back-Forward-Leg-Swings-(male)_Hips_.mp4,Stretching,Hips,Body weight,"Stand tall and hold onto a support | Swing one leg forward and backward in a controlled motion | Keep your torso upright and core engaged | Repeat for desired reps, then switch legs"
Lever Seated Hip Abduction,female/Lever-Seated-Hip-Abduction-(VERSION-2)-(female)_Hips_.mp4,Strength,Hips,Leverage machine,Sit on the machine with your back against the pad | Place your legs against the pads | Grip the handles for support | Push your legs outward against the resistance | Slowly return to the starting position
Smith Seated Shoulder Press,female/Smith-Seated-Shoulder-Press-(female)_Shoulders.mp4,Strength,Shoulders,Smith machine,Adjust the bench and Smith machine bar to shoulder height | Sit on the bench with back supported and grip the bar slightly wider than shoulder-width | Unrack the bar and lower it to just below chin level | Press the bar upward until arms are fully extended | Lower the bar back to starting position
Smith Low Bar Squat,male/Smith-Low-Bar-Squat_Thighs-FIX_.mp4,Strength,Thighs,Smith machine,Set bar on Smith machine at shoulder height | Position bar low on your upper back and grip it | Unrack bar and step feet shoulder-width apart | Lower hips back and down until thighs are parallel to floor | Push through heels to return to standing
Dumbbell Side Lunge,male/Dumbbell-Side-Lunge-(VERSION-3)_Thighs-FIX_.mp4,Strength,Thighs,Dumbbell,"Stand upright holding dumbbells at your sides | Step out to the side with one leg, bending that knee while keeping the other leg straight | Lower your hips down and back, keeping chest up | Push off the bent leg to return to starting position | Repeat on the other side"
Dumbbell Seated Shoulder Press,male/Dumbbell-Seated-Shoulder-Press_Shoulders-FIX2_.mp4,Strength,Shoulders,Dumbbell,Sit on a bench with back support holding dumbbells at shoulder height | Keep feet flat on the floor | Press dumbbells upward until arms are fully extended | Lower dumbbells back to shoulder height | Repeat
Band Face Pull,male/Band-Face-Pull-(male)_Shoulders_.mp4,Strength,Shoulders,Resistance Band,"Attach band at upper chest height | Grip band with both hands, arms extended | Pull band towards face, elbows high and out | Squeeze shoulder blades together | Slowly return to start"
Cable Close Grip Front Lat Pulldown,female/Cable-Close-Grip-Front-Lat-Pulldown-(female)_Back.mp4,Strength,Back,Cable,"Sit at the lat pulldown machine and grasp the close grip handle | Pull the handle down towards your upper chest, keeping elbows close to your body | Squeeze your back muscles at the bottom | Slowly release the handle back up to the starting position"
Pull Up,male/Pull-up-(negative)-(male)_Back_.mp4,Strength,Back,Body weight,Grip pull-up bar with palms facing away | Hang with arms fully extended | Pull your chin above the bar | Lower yourself back down with control
Inverted Row,male/Inverted-Row_Back-FIX_.mp4,Strength,Back,Body weight,Lie under a bar with arms extended | Grip the bar with hands shoulder-width apart | Keep body straight and pull chest to the bar | Lower back down with control
Cable Front Raise,male/Cable-Front-Raise-(rope-attachment)-(male)_Shoulde.mp4,Strength,Shoulders,Cable,Stand facing the cable machine holding the handle with both hands | Keep arms straight and lift the handle in front of you to shoulder height | Pause briefly at the top | Lower the handle back down slowly | Repeat
Cable One Arm Curl,female/Cable-One-Arm-Curl-(female)_Upper-Arms.mp4,Strength,Upper Arms,Cable,Stand facing cable machine holding handle with one hand | Keep elbow close to your side | Curl the handle upward toward your shoulder | Lower back to starting position | Repeat for reps
Olympic Barbell Hammer Curl,female/Olympic-Barbell-Hammer-Curl-(female)_Forearms_.mp4,Strength,Upper Arms,Olympic barbell,Stand upright holding Olympic barbell with neutral grip | Keep elbows close to your sides | Curl the barbell upward without rotating wrists | Squeeze at the top | Lower the barbell slowly to starting position
Cable Triceps Pushdown,female/Cable-Triceps-Pushdown-(SZ-bar)-(female)_Upper-arm.mp4,Strength,Upper Arms,Cable,"Stand facing the cable machine | Grip the bar or rope with both hands, elbows at sides | Push the bar/rope down until arms are fully extended | Slowly return to starting position"
Weighted Standing Curl,female/Weighted-Standing-Curl-(female)_Forearms.mp4,Strength,Upper Arms,Dumbbell,Stand upright holding dumbbells at your sides | Keep elbows close to your torso | Curl the weights up toward your shoulders | Lower the weights back down slowly
Self Assisted Inverted Pullover,female/Self-Assisted-Inverted-Pullover-(female)_Back_.mp4,Strength,Back,Body weight,Lie under a bar with feet on the ground | Grip the bar overhead with both hands | Pull your chest up toward the bar while keeping your body straight | Use your legs for assistance as needed | Lower yourself back down with control
Kettlebell Split Squat,female/Kettlebell-Split-Squat-(female)_Thighs_.mp4,Strength,Thighs,Kettlebell,"Stand with one foot forward and one foot back, holding a kettlebell at your side | Lower your back knee toward the floor, keeping your torso upright | Push through your front heel to return to starting position | Repeat for desired reps, then switch legs"
Cable Reverse Grip Triceps Pushdown,female/Cable-Reverse-Grip-Triceps-Pushdown-(SZ-bar)-(fema.mp4,Strength,Upper Arms,Cable,"Stand facing cable machine with bar attached | Grasp bar with underhand (reverse) grip, hands shoulder-width apart | Keep elbows close to sides and push bar down until arms are fully extended | Pause, then slowly return to starting position"
Band Hip Adduction,female/Band-hip-adduction-(female)_Hips.mp4,Strength,Hips,Band,"Attach band to a sturdy anchor and your ankle | Stand sideways to the anchor, feet hip-width apart | Bring your banded leg across your body toward the midline | Slowly return to starting position | Repeat for reps, then switch legs"
Dumbbell Thruster,female/Dumbbell-Thruster-(female)_Thighs_.mp4,Strength,Full body,Dumbbell,Stand with feet shoulder-width apart holding dumbbells at shoulders | Squat down until thighs are parallel to the floor | Explosively stand up and press dumbbells overhead | Lower dumbbells back to shoulders and repeat
Cable Cross Over Revers Fly,female/Cable-Cross-over-Revers-Fly-(female)_Shoulders.mp4,Strength,Shoulders,Cable,"Set cables at shoulder height | Grab handles with arms crossed in front | Step forward and slightly bend knees | Pull handles outward and back, squeezing shoulder blades | Return slowly to starting position"
Vertical Leg Raise,male/Vertical-Leg-Raise-(on-parallel-bars)_Hips_.mp4,Strength,Waist,Body weight,Hang from parallel bars with arms straight | Keep legs together and straight | Raise legs up toward your chest | Lower legs back down slowly | Repeat
Lever Seated Calf Raise,male/Lever-Seated-Calf-Raise-(plate-loaded)-(VERSION-2).mp4,Strength,Calves,Leverage machine,Sit on the machine with feet on foot platform | Place thighs under pads | Push through balls of feet to raise heels | Lower heels back down slowly | Repeat
Smith Standing Shoulder Press,female/Smith-Standing-Shoulder-Press-(female)_Shoulders_.mp4,Strength,Shoulders,Smith machine,Set bar at shoulder height on Smith machine | Stand with feet shoulder-width apart and grip bar slightly wider than shoulders | Press bar upward until arms are fully extended | Lower bar back to shoulder level | Repeat
Cable Cross Over Lateral Pulldown,female/Cable-Cross-over-Lateral-Pulldown-(female)_Back_.mp4,Strength,Back,Cable,"Stand between two cable machines with handles set high | Grab handles with each hand, arms extended overhead | Pull handles down and out to your sides, squeezing shoulder blades together | Slowly return to starting position | Repeat"
Cable Pushdown,male/Cable-Pushdown_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Cable,Stand facing cable machine with bar at chest height | Grip bar with palms facing down | Push bar down until arms are fully extended | Slowly return to starting position
Cable Lateral Raise,female/Cable-Lateral-Raise-(female)_Shoulders.mp4,Strength,Shoulders,Cable,Stand next to cable machine with handle in one hand | Keep arm straight and raise handle out to side | Lift until arm is parallel to floor | Lower slowly to starting position
Barbell Clean And Press,female/Barbell-Clean-and-Press-(female)_Shoulders_.mp4,Strength,Full body,Barbell,"Stand with feet shoulder-width apart and grip barbell | Lift barbell to shoulders in one motion (clean) | Press barbell overhead | Lower barbell back to shoulders, then to floor | Repeat"
Ez Barbell Close Grip Preacher Curl,female/EZ-Barbell-Close-Grip-Preacher-Curl-(female)_Upper.mp4,Strength,Upper Arms,EZ Barbell,Sit at preacher bench and grip EZ barbell with close grip | Rest arms on pad and fully extend elbows | Curl barbell up towards shoulders | Squeeze biceps at top | Lower barbell slowly to starting position
Kettlebell Around Head Rotation,female/Kettlebell-Around-Head-Rotation-(female)_Back_.mp4,Strength,Shoulders,Kettlebell,Stand upright holding a kettlebell with both hands | Raise the kettlebell to head height | Slowly rotate the kettlebell around your head in a controlled motion | Complete the circle and repeat in the opposite direction
Barbell Standing Wide Grip Curl,female/Barbell-Standing-Wide-grip-Curl-(female)_Upper-Arm.mp4,Strength,Upper Arms,Barbell,Stand upright holding barbell with wide grip | Keep elbows close to sides | Curl barbell up toward shoulders | Lower barbell back down slowly
Stationary Bike Run,female/Stationary-Bike-Run-(version-4)-(female)_Cardio_.mp4,Aerobic,Cardio,Leverage machine,Adjust the seat and handlebars | Sit on the bike and place feet on pedals | Start pedaling at a steady pace | Maintain good posture and increase speed as desired
Dumbbell Russian Twist With Legs Floor Off,female/Dumbbell-Russian-Twist-with-Legs-Floor-Off-(VERSIO.mp4,Strength,Waist,Dumbbell,"Sit on the floor holding a dumbbell with both hands | Lift your legs off the floor, keeping knees bent | Lean back slightly and engage your core | Twist your torso to move the dumbbell side to side | Repeat for desired reps"
Dumbbell Incline Bench Press,male/Dumbbell-Incline-Bench-Press_Chest-FIX2_.mp4,Strength,Chest,Dumbbell,Set bench to an incline and sit with dumbbells | Press dumbbells up to shoulder height | Push weights upward until arms are extended | Lower dumbbells back to starting position
Cable Standing Inner Curl,female/Cable-Standing-Inner-Curl-(female)_Upper-Arms.mp4,Strength,Upper Arms,Cable,Stand facing the cable machine with handle in one hand | Keep elbow close to your side | Curl the handle inward across your body | Squeeze your bicep at the top | Slowly lower back to starting position
Wide Grip Pull Up,female/Wide-Grip-Pull-Up-(female)_Back.mp4,Strength,Back,Body weight,Grip pull-up bar with hands wider than shoulders | Hang with arms fully extended | Pull your chest up toward the bar | Lower yourself back down with control
Lever Seated Shoulder Press,male/Lever-Seated-Shoulder-Press_Shoulders-FIX_.mp4,Strength,Shoulders,Leverage machine,Sit on the machine with back against the pad | Grip the handles at shoulder height | Press the handles upward until arms are extended | Lower the handles back to starting position
Sled One Leg Hack Squat,female/Sled-One-Leg-Hack-Squat-(female)_Thighs_.mp4,Strength,Thighs,Sled machine,"Position yourself on the sled machine with one foot on the platform | Keep the other leg off the platform or extended forward | Lower your body by bending the working knee | Push through your heel to return to starting position | Repeat for reps, then switch legs"
Band Standard Biceps Curl,female/Band-Standard-Biceps-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Band,"Stand on the band with feet shoulder-width apart | Hold handles with palms facing forward | Curl hands toward shoulders, keeping elbows close | Lower hands back down slowly"
Band Front Lateral Raise,female/Band-front-lateral-raise-(female)_Shoulders.mp4,Strength,Shoulders,Band,Stand on the band with feet shoulder-width apart | Hold the band handles at your sides | Raise arms straight in front to shoulder height | Lower arms back down slowly
Band Close Grip Row,female/Band-Close-Grip-Row-(female)_Back_.mp4,Strength,Back,Band,"Secure band at a low anchor point | Sit or stand holding handles with palms facing each other | Pull handles toward your torso, keeping elbows close | Squeeze shoulder blades together | Slowly return to starting position"
Barbell Hip Thrust,male/Barbell-Hip-Thrust_Hips-FIX_.mp4,Strength,Hips,Barbell,"Sit on the floor with upper back against a bench | Roll barbell over hips and plant feet flat on floor | Drive through heels to lift hips, squeezing glutes at top | Lower hips back down and repeat"
Cable One Arm Lateral Raise,female/Cable-One-Arm-Lateral-Raise-(female)_Shoulders.mp4,Strength,Shoulders,Cable,"Stand next to a cable machine with handle at your side | Grasp handle with one hand, arm at your side | Keeping arm straight, raise it out to the side until shoulder height | Lower arm slowly back to starting position | Repeat for reps"
Band Kneeling One Arm Pulldown,female/Band-Kneeling-One-Arm-Pulldown-(female)_Back.mp4,Strength,Back,Band,"Attach band overhead | Kneel on one knee facing anchor | Grab band with one hand | Pull band down to your side, squeezing back | Slowly return to start"
Lever Reverse Vertical Hack Squat,female/Lever-Reverse-Vertical-Hack-Squat-(female)_Hips_.mp4,Strength,Thighs,Leverage machine,Position yourself facing the pad on the hack squat machine | Place shoulders under pads and feet shoulder-width apart on the platform | Push through your heels to extend your legs and lift the weight | Lower yourself back down by bending your knees | Repeat for desired reps
Cable Seated Crunch,female/Cable-Seated-Crunch-(female)_Waist_.mp4,Strength,Waist,Cable,"Sit on a bench facing the cable machine | Grasp the rope attachment with both hands above your head | Crunch forward, bringing your elbows toward your knees | Pause, then slowly return to starting position"
Cable Low Seated Row,female/Cable-Low-Seated-Row-(female)_Back_.mp4,Strength,Back,Cable,"Sit at the cable row machine with feet on the platform | Grasp the handle with both hands | Pull the handle towards your torso, squeezing your back | Slowly extend arms to return to starting position"
Cable One Arm Front Raise,male/Cable-One-Arm-Front-Raise-(male)_Shoulders_.mp4,Strength,Shoulders,Cable,Stand facing away from cable machine holding handle with one hand | Keep arm straight and raise it in front of you to shoulder height | Pause briefly at the top | Lower arm back down slowly | Repeat for reps
Dumbbell Preacher Curl,male/Dumbbell-Preacher-Curl-(Turned-Torso)_Upper-Arms_.mp4,Strength,Upper Arms,Dumbbell,Sit at a preacher bench and hold a dumbbell in one hand | Rest your upper arm on the bench pad | Curl the dumbbell upward toward your shoulder | Lower it back down slowly | Repeat for reps
Barbell Standing Close Grip Military Press,female/Barbell-Standing-Close-Grip-Military-Press-(female.mp4,Strength,Shoulders,Barbell,Stand with feet shoulder-width apart holding barbell at chest with close grip | Brace your core and keep back straight | Press barbell overhead until arms are fully extended | Lower barbell back to chest with control
Reverse Grip Machine Lat Pulldown,female/Reverse-Grip-Machine-Lat-Pulldown-(female)_Back.mp4,Strength,Back,Leverage machine,Sit at the machine and grip the bar with palms facing you | Pull the bar down towards your upper chest | Squeeze your shoulder blades together | Slowly release the bar back up
Dumbbell Incline Shrug,female/Dumbbell-Incline-Shrug-(female)_Back.mp4,Strength,Shoulders,Dumbbell,"Set an incline bench to about 30-45 degrees | Sit with your chest against the bench, holding dumbbells at your sides | Let your arms hang straight down | Shrug your shoulders up toward your ears | Lower back to starting position"
Lever Bent Over Row,female/Lever-Bent-over-Row-(plate-loaded)-(female)_Back_.mp4,Strength,Back,Leverage machine,"Set the leverage machine with appropriate weight | Stand facing the machine and bend at your hips, keeping your back straight | Grasp the handles with both hands | Pull the handles towards your torso, squeezing your shoulder blades together | Slowly lower the handles back to the starting position"
Dumbbell Lateral To Front Raise,female/Dumbbell-Lateral-to-Front-Raise-(female)_Shoulders.mp4,Strength,Shoulders,Dumbbell,Stand upright holding dumbbells at sides | Raise arms out to sides to shoulder height | Bring arms forward in front of you at shoulder height | Lower arms back down to sides | Repeat
Dumbbell Zottman Curl,female/Dumbbell-Zottman-Curl-(female)_Upper-Arms_.mp4,Strength,Forearms,Dumbbell,"Stand holding dumbbells at your sides, palms facing forward | Curl the weights up while keeping elbows close to your body | At the top, rotate wrists so palms face down | Lower the dumbbells slowly with palms facing down | Rotate wrists back to starting position at the bottom"
Dumbbell Rear Fly,female/Dumbbell-Rear-Fly-(female)_Shoulders.mp4,Strength,Shoulders,Dumbbell,"Stand with feet hip-width apart holding dumbbells | Bend forward at the hips, keeping back flat | With a slight bend in elbows, raise arms out to sides | Squeeze shoulder blades together at the top | Lower arms back down with control"
Cable Reverse Grip Pushdown,male/Cable-Reverse-grip-Pushdown_Upper-Arms_.mp4,Strength,Upper Arms,Cable,"Stand facing cable machine with bar attached | Grasp bar with underhand (reverse) grip, hands shoulder-width apart | Keep elbows close to sides and push bar down until arms are fully extended | Pause, then slowly return to starting position"
Dumbbell Hip Thrust,male/Dumbbell-Hip-Thrust_Hips_.mp4,Strength,Hips,Dumbbell,"Sit on the floor with upper back against a bench | Roll a dumbbell onto your hips | Bend knees and place feet flat on the floor | Thrust hips upward, squeezing glutes | Lower hips back down and repeat"
Kettlebell Windmill,female/Kettlebell-Windmill-(female)_Waist_.mp4,Strength,Waist,Kettlebell,"Stand with feet shoulder-width apart holding kettlebell overhead | Turn feet out slightly and extend free arm down your side | Push hips to the side and lower torso, reaching free hand toward foot | Keep kettlebell arm straight and eyes on the weight | Return to starting position"
Dumbbell Incline Y Raise,female/Dumbbell-Incline-Y-Raise-(female)_Shoulders_.mp4,Strength,Shoulders,Dumbbell,Set an incline bench to about 30-45 degrees and lie face down holding dumbbells | Let arms hang straight down | Raise arms up and out in a Y shape | Pause at the top | Lower arms back down slowly
Kettlebell Biceps Curl,female/Kettlebell-Biceps-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Kettlebell,Stand upright holding a kettlebell in each hand | Keep elbows close to your sides | Curl the kettlebells up toward your shoulders | Lower them back down slowly
Band Alternate Low Chest Fly,female/Band-Alternate-Low-Chest-Fly-(female)_Chest_.mp4,Strength,Chest,Resistance Band,"Anchor band at low position | Hold handles and stand facing away | With slight bend in elbows, bring one arm up and across chest | Return to start and alternate arms | Repeat for desired reps"
Dumbbell Standing Single Leg Calf Raise,female/Dumbbell-Standing-Single-Leg-Calf-Raise-(female)_C.mp4,Strength,Calves,Dumbbell,"Stand upright holding a dumbbell in one hand | Lift one foot off the ground | Raise your heel on the standing leg as high as possible | Lower your heel back down slowly | Repeat for reps, then switch legs"
Band Standing Alternate Chest Press,female/Band-Standing-Alternate-Chest-Press-(female)_Chest.mp4,Strength,Chest,Band,"Anchor band behind you at chest height | Stand facing away, holding handles at chest | Press one arm forward while keeping the other at chest | Alternate pressing each arm | Return to start after each press"
45 Degree Hyperextension,male/45-degree-Hyperextension-(arms-in-front-of-chest)-.mp4,Strength,Back,Body weight,Position yourself on a 45-degree hyperextension bench | Cross arms over chest or place hands behind head | Lower upper body towards the floor by bending at the waist | Raise torso back up until your body is in a straight line | Repeat
Dumbbell Split Squat Front Foot Elevanted,male/Dumbbell-Split-Squat-Front-Foot-Elevanted_Thighs_.mp4,Strength,Thighs,Dumbbell,Stand with front foot elevated on a platform holding dumbbells | Step back with rear foot into a split stance | Lower your back knee toward the floor | Push through front foot to return to start | Repeat for reps
Barbell Seated Overhead Press,male/Barbell-Seated-Overhead-Press_Shoulders.mp4,Strength,Shoulders,Barbell,Sit on a bench with back support | Grip barbell at shoulder width and lift to shoulder height | Press barbell overhead until arms are fully extended | Lower barbell back to shoulder height
Band Horizontal Biceps Curl,female/Band-Horizontal-Biceps-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Resistance Band,"Stand with feet shoulder-width apart and hold band handles | Extend arms straight in front at chest height | Curl hands toward shoulders, keeping elbows up | Squeeze biceps, then slowly extend arms back to start"
Kettlebell Rear Delt Row,male/Kettlebell-Rear-Delt-Row_Shoulders_.mp4,Strength,Shoulders,Kettlebell,"Stand with feet hip-width apart holding kettlebells | Hinge forward at the hips, keeping back flat | Pull kettlebells up and out to sides, squeezing shoulder blades | Lower kettlebells back down with control"
Elevated Single Leg Hip Thrust,male/Elevated-Single-Leg-Hip-Thrust-(male)_Hips_.mp4,Strength,Hips,Body weight,"Sit with upper back against a bench | Place one foot on the floor, other leg extended | Drive through heel to lift hips up | Squeeze glutes at the top | Lower hips back down and repeat"
Resistance Band Horizontal Pallof Press,female/Resistance-Band-Horizontal-Pallof-Press-(female)_W.mp4,Strength,Waist,Resistance Band,"Anchor the resistance band at chest height | Stand sideways to the anchor, holding the band with both hands at your chest | Step away to create tension in the band | Press the band straight out in front of you, keeping arms extended | Hold briefly, then return hands to chest"
Dumbbell Upright Row,male/Dumbbell-Upright-Row_Shoulders-FIX.mp4,Strength,Shoulders,Dumbbell,"Stand upright holding dumbbells in front of thighs | Keep back straight and core engaged | Lift dumbbells upward toward chin, elbows leading | Lower dumbbells back to starting position"
Assisted Pull Up,female/Assisted-Pull-up-(female)_Back_.mp4,Strength,Back,Leverage machine,Grip the pull-up handles | Place knees or feet on the assist platform | Pull your body upward until chin is above the bar | Lower yourself back down with control | Repeat
Smith Close Grip Bench Press,female/Smith-Close-Grip-Bench-Press-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Smith machine,Lie on bench under Smith machine bar | Grip bar with hands shoulder-width apart | Lower bar to your chest | Press bar back up to starting position
Suspender Row,female/Suspender-Row-(female)_Back_.mp4,Strength,Back,Suspension,Grip the suspension handles with both hands | Lean back with arms extended and body straight | Pull your chest toward the handles by bending your elbows | Squeeze your shoulder blades together at the top | Lower yourself back to the starting position
Barbell Bent Over Row,male/Barbell-Bent-Over-Row_Back_.mp4,Strength,Back,Barbell,"Stand with feet shoulder-width apart holding a barbell | Bend knees slightly and hinge at hips, keeping back straight | Pull barbell towards your lower chest | Squeeze shoulder blades together | Lower barbell back down with control"
Band Squat Twist,female/Band-Squat-Twist-(female)_Waist_.mp4,Strength,Waist,Resistance Band,"Stand on resistance band with feet shoulder-width apart | Hold handles at shoulder height | Squat down, keeping chest up | As you rise, twist your torso to one side | Return to center and repeat, alternating sides"
Cable Deadlift,female/Cable-Deadlift-(female)_Thighs_.mp4,Strength,Hips,Cable,"Stand facing cable machine with feet hip-width apart | Grab cable handle with both hands | Hinge at hips, lowering handle toward feet | Keep back straight and chest up | Return to standing position"
Band One Arm Twisting Seated Row,female/Band-One-Arm-Twisting-Seated-Row-(female)_Back.mp4,Strength,Back,Band,"Sit on the floor with legs extended and band anchored at feet | Hold band with one hand, arm extended | Pull band towards your side while twisting torso | Squeeze back muscles, then return to start"
Cable Lateral Pulldown With Mag Grip,female/Cable-Lateral-Pulldown-with-Mag-Grip-(female)_Back.mp4,Strength,Back,Cable,"Sit at the cable pulldown station and grip the MAG bar with both hands | Lean back slightly and keep your chest up | Pull the bar down towards your upper chest, squeezing your shoulder blades together | Slowly return the bar to the starting position"
Dumbbell One Arm Wrist Curl,female/Dumbbell-One-Arm-Wrist-Curl-(female)_Forearms_.mp4,Strength,Forearms,Dumbbell,"Sit on a bench and rest your forearm on your thigh, palm up | Hold a dumbbell in your hand | Curl your wrist upward, lifting the dumbbell | Lower the dumbbell back down slowly | Repeat for desired reps"
Barbell Lateral Lunge,female/Barbell-Lateral-Lunge-(female)_Thighs_.mp4,Strength,Thighs,Barbell,"Stand with feet hip-width apart, barbell on upper back | Step out to the side with one leg | Bend the stepping knee and lower hips, keeping other leg straight | Push off the foot to return to starting position | Repeat on the other side"
Lever Seated Leg Press,male/Lever-Seated-Leg-Press-(VERSION-2)_Thighs_.mp4,Strength,Thighs,Leverage machine,Sit on the leg press machine and place feet on platform | Adjust seat and backrest for comfort | Push the platform away by extending your legs | Slowly bend knees to return to starting position | Repeat
Smith Split Squat,female/Smith-Split-Squat-(female)_Thighs_.mp4,Strength,Thighs,Smith machine,"Set bar on Smith machine at shoulder height | Stand with one foot forward and one foot back (split stance) | Lower your back knee toward the floor, keeping front knee over ankle | Push through front heel to return to starting position"
Captains Chair Straight Leg Raise,male/Captains-Chair-Straight-Leg-Raise_Waist-FIX_.mp4,Strength,Waist,Leverage machine,"Grip handles and rest forearms on pads | Let legs hang straight down | Keeping legs straight, raise them up to hip level | Lower legs back down slowly"
Band Seated Row,male/Band-seated-row-(male)_Back.mp4,Strength,Back,Band,Sit on the floor with legs extended | Loop the band around your feet and hold the ends | Keep your back straight and pull the band towards your torso | Squeeze your shoulder blades together | Slowly return to starting position
Lever Lying Chest Press,male/Lever-Lying-Chest-Press-(plate-loaded)_Chest-FIX_.mp4,Strength,Chest,Leverage machine,Lie on the bench of the leverage machine | Grip the handles with both hands | Press the handles upward until arms are extended | Lower the handles back to starting position | Repeat
Cable Shrug,female/Cable-Shrug-(female)_Back_.mp4,Strength,Shoulders,Cable,Stand facing a cable machine holding the handles at your sides | Keep arms straight and stand tall | Shrug your shoulders upward toward your ears | Pause briefly at the top | Lower shoulders back down and repeat
Band Overhead Triceps Extension,male/Band-overhead-triceps-extension-(male)_Upper-Arms.mp4,Strength,Upper Arms,Band,Stand on the band and hold handles overhead | Keep elbows close to your head | Extend arms upward to straighten elbows | Lower back to starting position | Repeat
Reverse Hyper On Flat Bench,female/Reverse-Hyper-on-Flat-Bench-(female)_Hips_.mp4,Strength,Hips,Body weight,"Lie face down on a flat bench with hips at the edge | Hold onto the bench for support | Lift your legs upward, squeezing your glutes | Lower your legs back down slowly | Repeat"
Barbell Seated Good Morning,female/Barbell-Seated-Good-Morning-(female)_Hips_.mp4,Strength,Back,Barbell,"Sit on a bench with barbell on upper back | Keep feet flat and core tight | Bend forward at hips, keeping back straight | Lower torso until almost parallel to floor | Return to upright position"
Cable Horizontal Pallof Press,female/Cable-Horizontal-Pallof-Press-(female)_Waist_.mp4,Strength,Waist,Cable,"Stand sideways to cable machine and hold handle at chest | Brace your core and press handle straight out in front | Hold briefly, resisting rotation | Bring handle back to chest | Repeat for reps, then switch sides"
Smith Bench Press,female/Smith-Bench-Press-(female)_Chest_.mp4,Strength,Chest,Smith machine,Lie on bench under Smith machine bar | Grip bar slightly wider than shoulder-width | Lower bar to mid-chest | Press bar back up to starting position
Dumbbell Incline Hammer Curl,female/Dumbbell-Incline-Hammer-Curl-(female)_Upper-Arms.mp4,Strength,Upper Arms,Dumbbell,Sit on an incline bench holding dumbbells at your sides | Keep palms facing each other (neutral grip) | Curl the dumbbells up toward your shoulders | Lower them back down slowly | Repeat
Cable Standing Wood Chopper,female/Cable-Standing-Wood-Chopper-(female)_Waist_.mp4,Strength,Waist,Cable,"Set cable to high position | Stand sideways to cable, feet shoulder-width apart | Grasp handle with both hands above shoulder | Pull handle diagonally across body to opposite hip | Return slowly to start position"
Kettlebell Wood Chop,female/Kettlebell-Wood-Chop-(female)_Waist_.mp4,Strength,Waist,Kettlebell,Stand with feet shoulder-width apart holding kettlebell by one side | Squat slightly and bring kettlebell down outside one knee | Rotate torso and lift kettlebell diagonally across body above opposite shoulder | Return to starting position | Repeat on both sides
Triceps Dip,male/Triceps-Dip_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Body weight,Sit on edge of a bench with hands beside hips | Slide forward so hips are off the bench | Lower body by bending elbows to about 90 degrees | Push back up to starting position
Dumbbell Single Leg Deadlift,male/Dumbbell-Single-Leg-Deadlift-(male)_Hips_.mp4,Strength,Hips,Dumbbell,"Stand on one leg holding a dumbbell | Hinge at the hips, lowering the dumbbell toward the floor | Keep your back straight and extend the other leg behind you | Return to standing position | Repeat on the other leg"
Cable One Arm Twisting Seated Row,female/Cable-One-Arm-Twisting-Seated-Row-(female)_Back.mp4,Strength,Back,Cable,"Sit at a cable row machine and grasp the handle with one hand | Keep your back straight and feet planted | Pull the handle towards your torso while twisting your upper body | Squeeze your back muscles, then slowly return to start"
Dumbbell Lying One Arm Press,female/Dumbbell-Lying-One-Arm-Press-(female)_Chest_.mp4,Strength,Chest,Dumbbell,"Lie on a bench holding a dumbbell in one hand | Keep feet flat on the floor and core engaged | Press the dumbbell upward until your arm is fully extended | Lower the dumbbell back to chest level | Repeat for reps, then switch arms"
